Make,Model,Model_Variant,Year_Start,Year_End,New_Gens
ABARTH,500,,2009,2015,FALSE
ABARTH,500,,2012,2015,FALSE
ABARTH,500,,2023,,TRUE
ABARTH,500,Turismo,2023,,TRUE
ABARTH,500,Scorpionissima,2023,,TRUE
ABARTH,500,,2023,,TRUE
ABARTH,500,Turismo,2023,,TRUE
ABARTH,500,Scorpionissima,2023,,TRUE
ABARTH,595,,2015,2016,FALSE
ABARTH,595,,2015,2016,FALSE
ABARTH,595,Turismo,2012,2016,FALSE
ABARTH,595,Turismo,2012,2016,FALSE
ABARTH,595,Competizione,2012,2015,FALSE
ABARTH,595,Competizione,2012,2015,FALSE
ABARTH,595,Competizione,2015,2016,FALSE
ABARTH,595,Competizione,2015,2016,FALSE
ABARTH,595,,2015,2016,FALSE
ABARTH,595,,2015,2016,FALSE
ABARTH,595,Turismo,2012,2016,FALSE
ABARTH,595,Turismo,2012,2016,FALSE
ABARTH,595,Competizione,2012,2015,FALSE
ABARTH,595,Competizione,2012,2015,FALSE
ABARTH,595,Competizione,2015,2016,FALSE
ABARTH,595,Competizione,2015,2016,FALSE
ABARTH,595,50th Anniversary Edition,2013,2013,FALSE
ABARTH,595,Trofeo,2015,2016,FALSE
ABARTH,595,,2016,2022,FALSE
ABARTH,595,,2016,2018,FALSE
ABARTH,595,,2022,2022,FALSE
ABARTH,595,,2022,,TRUE
ABARTH,595,Pista,2020,2021,FALSE
ABARTH,595,F595,2021,2022,FALSE
ABARTH,595,F595,2021,2022,FALSE
ABARTH,595,Turismo,2016,2022,FALSE
ABARTH,595,Turismo,2016,2022,FALSE
ABARTH,595,Turismo,2022,,TRUE
ABARTH,595,Turismo,2022,2023,FALSE
ABARTH,595,Turismo,2021,2021,FALSE
ABARTH,595,Scorpioneoro,2020,2021,FALSE
ABARTH,595,Yamaha Monster,2020,2021,FALSE
ABARTH,595,Competizione,2016,2022,FALSE
ABARTH,595,Competizione,2016,2022,FALSE
ABARTH,595,Essesse,2020,2022,FALSE
ABARTH,595,Essesse,2021,2022,FALSE
ABARTH,595,,2016,2022,FALSE
ABARTH,595,,2016,2018,FALSE
ABARTH,595,,2022,2022,FALSE
ABARTH,595,Pista,2020,2021,FALSE
ABARTH,595,F595,2021,2022,FALSE
ABARTH,595,F595,2021,2022,FALSE
ABARTH,595,Turismo,2016,2022,FALSE
ABARTH,595,Turismo,2016,2022,FALSE
ABARTH,595,Turismo,2021,2021,FALSE
ABARTH,595,Competizione,2016,2022,FALSE
ABARTH,595,Competizione,2016,2022,FALSE
ABARTH,595,Essesse,2020,2022,FALSE
ABARTH,595,Essesse,2021,2022,FALSE
ABARTH,595,"165 17"" Alloy",2022,,TRUE
ABARTH,595,Turismo,2022,,TRUE
ABARTH,595,Turismo,2022,2023,FALSE
ABARTH,595,70th Anniversary,2019,2020,FALSE
ABARTH,595,Trofeo,2017,2019,FALSE
ABARTH,595,Turismo 70th Anniversary,2019,2020,FALSE
